"list_id","item_name","item_is_active","item_description"
1,"Male","true","Male "
1,"Female","true","Female"
2,"Cattle","true","Cattle"
2,"Buffalo","true","Buffalo"
3,"Small-Scale(1-5 Animals)","true","Small-Scale Farmer (1-5 Animals)"
3,"Medium-Scale(6-25 Animals)","true","Medium-Scale Farmer (6-25 Animals)"
3,"Large-Scale(>25 Animals)","true","Large-Scale Farmer (>25 Animals)"
4,"Farmer","true","Farmer"
4,"Farm","true","Farm"
5,"Low Production","true","Low Production"
5," Over age","true"," Over age"
5," Died","true"," Died"
5,"Sold For Meat","true","Sold For Meat"
5,"Use For Meat","true","Use For Meat"
5,"Other","true","Other"
